Tool name,01-known_scaffolds.bed,01-unknown_scaffolds.bed,02-leading_zeros_start.bed,03-duplicate_rows.bed,03-no_gap_startend.bed,03-overlapping_intervals.bed,03-standard_chrom.bed,03-start_eq_end.bed,03-zero_chromStart.bed,other-comment_end.bed,other-comment_middle.bed,other-comment_start.bed,other-fully_space_delimited.bed,other-multiple_comments.bed,other-not_tab_delimited.bed,other-space_after_tab.bed,other-space_before_tab.bed,other-space_between_lines.bed,,01-missing_chrom.bed,01-no_chrom.bed,01-special_char_chrom.bed,02-float_start.bed,02-no_start.bed,02-start_negative.bed,02-string_start.bed,03-chromEnd_too_large.bed,03-end_negative.bed,03-float_end.bed,03-no_end.bed,03-start_gt_end.bed,03-string_end.bed
iCount clusters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
idr idr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
multigps multigps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
regtools junctions annotate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
scalpel discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
segtools overlap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
slncky slncky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
wisestork gc-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
elprep bed-to-elsites,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,0,0,1,1,0,1
gff-compare trmap,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
ucsc bedSort,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0
augur mask,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,,0,0,0,1,0,0,1,0,1,1,0,0,0
igvtools count,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,1,0,1,1,0,1
smoove call,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,1,0,1,1,0,0
vcflib intersect,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
bamscale scale,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,0,1,0,1,1,0,0,0,0,1,1,0,1
biopet WipeReads,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,1,1,1,1,1,1
cnvkit access,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,,0,0,0,1,1,0,1,0,0,1,1,1,1
cthreepo cthreepo,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0
igvtools sort,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
rpkmforgenes rpkmforgenes,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,,0,0,0,1,0,1,0,0,0,0,1,0,0
vcflib annotate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
ataqv ataqv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
bedops complement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
bedops element-of,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
cnvkit target,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,0,0,0,1,1,0,1,0,1,1,1,0,1
combined p-values acf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
homer findMotifsGenome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
macs2 callpeak,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,1,0,0,0
nanosv nanosv,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,,0,0,0,1,0,1,1,1,0,1,0,0,1
ngsutils extend,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
novasplice novasplice,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,,1,1,0,1,1,1,1,0,1,0,1,1,1
peakranger ccat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
portcullis compare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
quast quast,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
rseqc geneBody_coverage,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
seqtk subseq,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
slamdunk filter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
snpSift intersect,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
tobias ATACorrect,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1
alfred annotate,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,,0,0,0,1,0,0,1,1,0,1,0,0,1
bedparse validateFormat,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,0,0,0,1,1,0,1,0,1,1,1,1,1
chunked-scatter chunked-scatter,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,,0,1,0,1,1,0,1,0,0,1,1,0,1
crossmap CrossMap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,1,0,0,0,0,0
ngsutils reduce,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,1,0,0,0,0,0,0,0,0
octopus octopus,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,1,1,1,1,1
preseq c_curve,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,,0,0,0,0,0,1,0,0,0,0,1,0,1
snpSift join,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,1,1,0,1,1
somaticseq single,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,,0,0,0,1,1,0,1,0,0,1,1,0,1
bazam bazam,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,,0,1,0,1,1,0,1,1,0,1,1,0,1
qualimap comp-counts,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,,0,0,0,1,1,0,1,1,1,1,1,1,1
snpEff count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0
dammet DamMet,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,,0,1,0,1,0,1,1,0,0,0,1,1,1
samtools bedcov,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,1,1,1,0,1,1,0,1,1,0,0,1
seqkit subseq,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,,0,0,0,1,0,0,1,0,1,1,0,1,1
alignstats alignstats,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,0,1,1,1,0,1,0,0
bedtools merge,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,0,1,0,0,1,1,1,0,1,0,1,1,1
concoct coverage_table,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,,0,1,0,1,1,0,1,1,0,1,1,0,1
ngs-bits BedAdd,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,,0,1,0,0,0,1,0,1,1,0,1,1,1
ngs-bits BedChunk,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,,0,1,0,0,0,1,0,1,1,0,1,1,1
ngs-bits BedExtend,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,,0,1,0,0,0,1,0,1,1,0,1,1,1
ngs-bits BedMerge,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,,0,1,0,0,0,1,0,1,1,0,1,1,1
rseg rseg,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,,1,1,1,1,1,1,0,1,1,0,1,0,0
twobitreader twobitreader,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,,1,1,1,1,1,1,1,1,0,1,1,0,1
variantbam variant,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,0,1,0,0,1,0,0,1,1,0,1,0,1
bedtools coverage,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,1,0,0,1,1,1,0,1,0,1,1,1
bedtools intersect,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,1,0,0,1,1,1,0,1,0,1,1,1
bioconvert bed2wiggle,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,0,1,0,0,0,0,0
cgat merge,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,1,1,1,1,0,0,1,1,0,1
deeptools computeMatrix scale-regions,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,,0,1,0,1,1,0,1,1,1,1,1,1,1
mosdepth mosdepth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,0,0,0,1,1,1,1,1,0,1,0,0,1
wiggletools AUC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,0,1,0,0,0,0,0
gimmemotifs scan,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,,1,1,1,1,1,1,1,0,1,1,1,0,1
intervene upset,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,1,0,0,1,1,1,1,1,0,1,1,1
intervene venn,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,1,0,0,1,1,1,1,1,0,1,1,1
plastid findjuncs,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,1,0,1,0,1,1,1,1,1,1
plastid reformat_transcripts,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,1,0,1,0,1,1,1,1,1,1
pybedtools intersection_matrix,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,1,0,0,1,1,1,1,1,0,1,1,1
pygtftk bed_to_gtf,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,0,0,0,1,1,1,1,1,1,1,1,1,1
rapid rapidStats,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,1,1,0,0,1,1,1,0,1,0,0,1,1
ucsc bedRemoveOverlap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,0,0,0,0,0
cgat shift,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,1,1,0,1,1,1,1,1,1,1
dsh-bio filter-bed,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,1,1,1,1,0,1,1,1,1,1
ngsutils stats,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,,1,0,0,1,0,1,1,0,1,1,1,1,1
xyalign PREPARE_REFERENCE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,,1,0,0,1,1,1,1,1,1,1,1,1,1
genometools bed_to_gff,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,0,1,1,1,1,1,1
ucsc bedClip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,0,1,1,1,0,1
picard BedToIntervalList,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
ucsc bedToBigBed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
,0.727272727,0.727272727,0.787878788,0.797979798,0.808080808,0.797979798,0.808080808,0.676767677,0.797979798,0.626262626,0.636363636,0.535353535,0.373737374,0.616161616,0.373737374,0.585858586,0.575757576,0.585858586,,0.434343434,0.525252525,0.333333333,0.636363636,0.616161616,0.565656566,0.595959596,0.525252525,0.575757576,0.575757576,0.666666667,0.515151515,0.696969697
,01-known_scaffolds.bed,01-unknown_scaffolds.bed,02-leading_zeros_start.bed,03-duplicate_rows.bed,03-no_gap_startend.bed,03-overlapping_intervals.bed,03-standard_chrom.bed,03-start_eq_end.bed,03-zero_chromStart.bed,other-comment_end.bed,other-comment_middle.bed,other-comment_start.bed,other-fully_space_delimited.bed,other-multiple_comments.bed,other-not_tab_delimited.bed,other-space_after_tab.bed,other-space_before_tab.bed,other-space_between_lines.bed,,01-missing_chrom.bed,01-no_chrom.bed,01-special_char_chrom.bed,02-float_start.bed,02-no_start.bed,02-start_negative.bed,02-string_start.bed,03-chromEnd_too_large.bed,03-end_negative.bed,03-float_end.bed,03-no_end.bed,03-start_gt_end.bed,03-string_end.bed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.333333333,0.373737374,0.373737374,0.434343434,0.515151515,0.525252525,0.525252525,0.535353535,0.565656566,0.575757576,0.575757576,0.575757576,0.585858586,0.585858586,0.595959596,0.616161616,0.616161616,0.626262626,0.636363636,0.636363636,0.666666667,0.676767677,0.696969697,0.727272727,0.727272727,0.787878788,0.797979798,0.797979798,0.797979798,0.808080808,0.808080808,
,01-special_char_chrom.bed,other-fully_space_delimited.bed,other-not_tab_delimited.bed,01-missing_chrom.bed,03-start_gt_end.bed,01-no_chrom.bed,03-chromEnd_too_large.bed,other-comment_start.bed,02-start_negative.bed,other-space_before_tab.bed,03-end_negative.bed,03-float_end.bed,other-space_after_tab.bed,other-space_between_lines.bed,02-string_start.bed,other-multiple_comments.bed,02-no_start.bed,other-comment_end.bed,other-comment_middle.bed,02-float_start.bed,03-no_end.bed,03-start_eq_end.bed,03-string_end.bed,01-known_scaffolds.bed,01-unknown_scaffolds.bed,02-leading_zeros_start.bed,03-duplicate_rows.bed,03-overlapping_intervals.bed,03-zero_chromStart.bed,03-no_gap_startend.bed,03-standard_chrom.bed,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.333333333,01-special_char_chrom.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.373737374,other-fully_space_delimited.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.373737374,other-not_tab_delimited.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.434343434,01-missing_chrom.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.515151515,03-start_gt_end.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.525252525,01-no_chrom.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.525252525,03-chromEnd_too_large.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.535353535,other-comment_start.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.565656566,02-start_negative.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.575757576,other-space_before_tab.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.575757576,03-end_negative.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.575757576,03-float_end.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.585858586,other-space_after_tab.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.585858586,other-space_between_lines.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.595959596,02-string_start.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.616161616,other-multiple_comments.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.616161616,02-no_start.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.626262626,other-comment_end.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.636363636,other-comment_middle.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.636363636,02-float_start.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.666666667,03-no_end.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.676767677,03-start_eq_end.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.696969697,03-string_end.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.727272727,01-known_scaffolds.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.727272727,01-unknown_scaffolds.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.787878788,02-leading_zeros_start.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.797979798,03-duplicate_rows.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.797979798,03-overlapping_intervals.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.797979798,03-zero_chromStart.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.808080808,03-no_gap_startend.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.808080808,03-standard_chrom.bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
